"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.478275880E2,6.504640798E1,2.543222412E1,5.347223960E0,1.396240197E0,7.920793825E1,3.993746034E0,3.577899326E0
1.488275740E2,6.504641443E1,2.543224760E1,5.353867888E0,1.398710495E0,7.532571281E1,4.073713385E0,3.631644526E0
1.498275595E2,6.504641338E1,2.543227525E1,5.247062549E0,1.286258943E0,8.357677197E1,4.115602126E0,3.502366826E0
1.508275462E2,6.504642067E1,2.543230086E1,5.244688707E0,1.067123854E0,7.642751301E1,4.053369111E0,3.575207336E0
1.518275336E2,6.504642524E1,2.543233748E1,5.148330873E0,1.447180547E0,7.980604744E1,4.001233737E0,3.548727383E0
1.528275205E2,6.504643185E1,2.543236805E1,5.441718431E0,1.478970477E0,7.957089375E1,4.013447317E0,3.696353814E0
1.538275074E2,6.504643631E1,2.543239390E1,5.067640729E0,1.446458788E0,7.636082603E1,4.003773732E0,3.749508024E0
1.548274946E2,6.504643820E1,2.543242429E1,5.309378096E0,1.458763046E0,8.023281506E1,3.961408189E0,3.833754500E0
1.558274829E2,6.504644092E1,2.543245496E1,5.474144181E0,1.466220516E0,8.318440434E1,3.909001431E0,3.961174183E0
1.568274703E2,6.504643997E1,2.543248989E1,5.851393891E0,1.457151214E0,8.613181106E1,3.959675146E0,4.056498591E0
1.578274586E2,6.504644007E1,2.543252036E1,5.822148355E0,1.458115551E0,8.651775734E1,3.912001489E0,4.138793800E0
1.588274459E2,6.504643982E1,2.543255001E1,5.591339586E0,1.477454108E0,8.798653362E1,3.902983154E0,4.289257616E0
1.598274351E2,6.504644485E1,2.543258266E1,5.806932203E0,1.468177339E0,8.114116706E1,3.846202714E0,4.279555837E0
1.608274229E2,6.504644563E1,2.543261433E1,5.729563946E0,1.488552399E0,8.335834689E1,3.753892572E0,4.204591933E0
1.618274118E2,6.504644905E1,2.543264552E1,5.844597619E0,1.471068133E0,7.967462215E1,3.730748712E0,4.157840381E0
1.628274002E2,6.504644948E1,2.543267864E1,5.782528295E0,1.481450989E0,8.042129391E1,3.740177488E0,4.246050826E0
1.638273896E2,6.504644921E1,2.543271094E1,5.744432523E0,1.465971520E0,8.364575661E1,3.712856642E0,4.319697774E0
