"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.680034542E0,4.910928419E-1,6.460727738E0,-3.187277053E-1
2.689967542E0,-1.003049499E0,6.024088079E0,1.315220064E0
2.699900542E0,-2.414652581E0,5.069935920E0,2.738941646E0
2.709832542E0,-3.277932430E0,3.517306622E0,3.259760746E0
2.719765542E0,-2.766993079E0,1.621606563E0,2.946066397E0
2.729698542E0,-5.163931958E-1,3.823839301E-1,2.352310737E0
2.739631542E0,1.863762421E0,-3.287708098E-1,1.827167329E0
2.749563542E0,3.246269173E0,-9.435394621E-1,1.582363413E0
2.759496542E0,3.882691819E0,-1.178512162E0,1.929097601E0
2.769429542E0,3.894320469E0,-1.297787175E0,2.384446011E0
2.779362542E0,3.339353045E0,-1.323353541E0,2.329794425E0
2.789294542E0,2.390166050E0,-1.346550030E0,1.761817532E0
2.799227542E0,1.443497743E0,-1.354979376E0,1.143446410E0
2.809160542E0,7.211868078E-1,-1.179264699E0,4.458841074E-1
2.819092542E0,1.962775443E-1,-9.701144725E-1,-6.397445954E-2
2.829025542E0,-4.418630868E-1,-8.364892226E-1,-1.292888086E-1
2.838958542E0,-1.330865459E0,-9.372724164E-1,1.270769531E-1
2.848891542E0,-2.092293682E0,-1.206722639E0,3.270681006E-1
2.858823542E0,-2.267080114E0,-1.466970513E0,2.362820376E-1
2.868756542E0,-1.863442871E0,-1.638128455E0,-1.455734503E-1
2.878689542E0,-1.274568905E0,-1.868799943E0,-5.918990225E-1
2.888622542E0,-7.946199426E-1,-2.139520181E0,-8.588216396E-1
2.898554542E0,-4.455654341E-1,-2.345866082E0,-9.913101907E-1
2.908487542E0,-2.248046111E-1,-2.540853767E0,-9.999500366E-1
2.918420542E0,-7.629907452E-2,-2.810778784E0,-8.583677495E-1
2.928353542E0,9.577176444E-2,-3.022492429E0,-8.000382650E-1
2.938285542E0,1.900778877E-1,-3.236045609E0,-7.055479909E-1
2.948218542E0,1.945092001E-1,-3.394004046E0,-7.254798335E-1
2.958150625E0,5.768537711E-2,-3.512262813E0,-8.175707026E-1
2.968083625E0,-1.057263933E-1,-3.638786620E0,-8.909507740E-1
2.978015625E0,-2.476401810E-2,-3.664046007E0,-1.192544310E0
2.987948625E0,2.109347598E-1,-3.659422613E0,-1.349789826E0
2.997881625E0,4.546446982E-1,-3.570054939E0,-1.211062881E0
3.007814625E0,6.579067782E-1,-3.327727026E0,-1.151629588E0
3.017746625E0,7.987052460E-1,-3.058790190E0,-1.113010337E0
3.027679625E0,9.109027894E-1,-2.659549322E0,-8.410537054E-1
3.037612625E0,9.618531608E-1,-2.159202493E0,-5.841545315E-1
3.047544625E0,9.418276897E-1,-1.586878195E0,-4.017056157E-1
3.057477625E0,9.756627493E-1,-7.462111366E-1,-2.926472962E-1
3.067410625E0,1.083069961E0,3.193772578E-1,-3.379259415E-1
3.077343625E0,1.063696089E0,1.390342752E0,-2.005425400E-1
3.087275625E0,8.322630014E-1,2.338931285E0,2.130867179E-1
3.097208625E0,3.912508306E-1,3.071642954E0,5.720586888E-1
3.107141625E0,-1.212471329E-1,3.774970027E0,6.753345506E-1
